Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Caranx crysos,Blue runner,Carangidae,benthic,species,"14.7","5.9","29.6","0.343","0.176","0.734","0.222","0.119","0.400","21","19","24","21.6","8.9","50.0","27","8","94","0.396","0.246","0.632"
Caranx hippos,Crevalle jack,Carangidae,benthic,species,"10.9","4.1","19.9","0.33","0.17","0.68","0.218","0.121","0.391","20.9","18.7","23.4","33.8","14.2","84.4","16","5","56","0.357","0.217","0.574"
Caranx latus,Horse-eye jack,Carangidae,benthic,species,"10.8","4.5","19.0","0.333","0.174","0.672","0.205","0.116","0.354","20.8","18.6","23.3","23.8","10.4","53.4","42.1","12.5","138.5","0.343","0.235","0.533"
Caranx lugubris,Black jack,Carangidae,pelagic,species,"18.6","8.7","42.6","0.471","0.233","0.996","0.326","0.167","0.626","19.2","16.8","21.7","49.4","20.4","117.3","20.6","5.9","67.4","0.309","0.207","0.482"
Caranx ruber,Bar jack,Carangidae,benthic,species,"13.4","5.4","24.9","0.347","0.166","0.748","0.17","0.09","0.32","20.6","18.2","23.0","16.9","6.9","41.2","62.4","20.7","184.8","0.341","0.224","0.543"
Carapus bermudensis,Pearlfish,Carapidae,pelagic,genus,"66.2","36.0","130.7","0.591","0.352","1.101","0.139","0.079","0.254","17.2","14.7","19.7","41.5","21.0","88.2","123","42","351","1.33","0.92","1.88"
Carcharhinus acronotus,Blacknose shark,Carcharhinidae,pelagic,species,"4.6","0.8","24.8","0.382","0.095","1.094","0.156","0.059","0.385","23","20","25","13.2","4.0","40.1","34.1","11.8","102.7","0.367","0.171","0.718"
Carcharhinus brachyurus,Copper shark,Carcharhinidae,pelagic,species,"2.54","0.47","14.40","0.3","0.1","0.9","0.172","0.060","0.438","23","20","25","19.4","5.6","61.2","30.3","7.9","119.7","0.413","0.195","0.829"
Carcharhinus brevipinna,Spinner shark,Carcharhinidae,pelagic,species,"3.98","0.74","21.53","0.386","0.096","1.168","0.154","0.058","0.388","23.1","20.3","25.3","16.9","4.9","52.4","21.3","7.3","64.7","0.319","0.150","0.630"
Carcharhinus falciformis,Silky shark,Carcharhinidae,benthic,species,"2.41","0.46","12.84","0.321","0.080","0.980","0.211","0.078","0.542","22.8","19.9","25.0","34.5","10.6","105.0","23","7","76","0.281","0.138","0.566"
Carcharhinus galapagensis,Galapagos shark,Carcharhinidae,benthic,species,"3.97","0.89","21.70","0.329","0.083","0.941","0.0987","null","null","22.1","19.2","24.4","46.8","14.0","139.5","39.1","13.8","112.6","0.504","0.236","0.958"
Carcharhinus isodon,Finetooth shark,Carcharhinidae,pelagic,species,"18.2","2.4","105.3","0.806","0.208","2.583","0.212","0.078","0.538","22.3","19.5","24.6","14.5","3.6","49.7","8.18","2.44","27.45","0.398","0.184","0.751"
Carcharhinus leucas,Bull shark,Carcharhinidae,benthic,species,"2.56","0.48","14.67","0.304","0.074","0.932","0.151","0.052","0.397","23","20","25","17.1","5.0","54.8","28","7","105","0.431","0.202","0.866"
Carcharhinus limbatus,Blacktip shark,Carcharhinidae,pelagic,species,"4.26","0.72","22.52","0.385","0.093","1.176","0.178","0.063","0.455","23.4","20.6","25.6","15.8","4.5","48.0","20.6","5.9","72.3","0.358","0.169","0.728"
Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinidae,pelagic,species,"7.66","1.45","44.26","0.723","0.193","2.260","0.259","0.106","0.652","22.4","19.6","24.6","26","8","75","6.58","2.21","19.27","0.355","0.172","0.669"
Carcharhinus obscurus,Dusky shark,Carcharhinidae,pelagic,species,"2.25","0.42","12.59","0.295","0.071","0.898","0.163","0.056","0.425","23","20","25","21.7","6.3","69.9","24.1","6.3","93.0","0.398","0.189","0.797"
Carcharhinus perezii,Caribbean reef shark,Carcharhinidae,pelagic,species,"3.45","0.66","18.50","0.348","0.085","1.010","0.145","0.054","0.363","23","20","25","14.6","4.6","45.9","28.1","9.3","88.8","0.333","0.154","0.655"
Carcharhinus plumbeus,Sandbar shark,Carcharhinidae,pelagic,species,"7.18","1.02","43.19","0.476","0.121","1.485","0.302","0.118","0.686","21.4","18.5","23.8","28.7","8.8","93.0","19.2","5.6","67.9","0.54","0.25","1.03"
Carcharias taurus,Sand tiger shark,Carchariidae,pelagic,species,"4.12","0.71","19.42","0.397","0.092","1.092","0.215","0.084","0.534","21.2","18.7","23.6","20.9","5.9","65.0","20","7","64","0.286","0.136","0.590"
Cathorops spixii,Madamango sea catfish,Ariidae,pelagic,species,"122","59","299","1","1","2","0.267","0.142","0.513","17","15","19","44.3","21.0","99.1","37.5","12.6","116.5","1.71","1.12","2.74"
Caulolatilus chrysops,Atlantic goldeneye tilefish,Latilidae,pelagic,species,"86.4","58.1","166.7","1.05","0.67","1.69","0.237","0.153","0.371","16.6","14.3","19.6","73.4","37.9","144.5","28.3","10.5","78.0","0.968","0.698","1.358"
Centriscops humerosus,Banded yellowfish,Centriscidae,benthic,species,"30.7","15.9","64.3","0.468","0.183","0.946","0.408","0.200","0.881","16.7","15.4","18.1","18.2","7.9","43.5","9.29","1.72","49.89","0.39","0.26","0.58"
Centrophorus granulosus,Gulper shark,Centrophoridae,pelagic,species,"5.65","1.11","28.95","0.304","0.071","0.977","0.279","0.102","0.876","19.9","17.6","22.1","19.5","6.0","56.9","8.25","1.82","38.80","0.248","0.118","0.466"
Centropomus ensiferus,Swordspine snook,Centropomidae,pelagic,species,"58.7","33.6","120.4","0.742","0.452","1.292","0.39","0.18","0.89","19.3","17.0","21.5","17.8","9.1","32.5","26.9","9.7","79.2","0.949","0.660","1.368"
Centropomus mexicanus,Largescale fat snook,Centropomidae,pelagic,species,"117","70","193","0.939","0.635","1.422","0.25","0.11","0.55","19.2","16.9","21.4","38.9","21.7","71.0","23.2","9.8","54.9","1.25","0.96","1.68"
Centropomus parallelus,Fat snook,Centropomidae,pelagic,species,"61.4","35.8","112.0","0.995","0.655","1.588","0.359","0.176","0.732","19.9","17.6","22.0","19.3","10.7","37.3","16.9","6.1","47.3","0.675","0.491","0.950"
Centropomus pectinatus,Tarpon snook,Centropomidae,pelagic,species,"61.4","34.4","120.7","0.883","0.544","1.444","0.384","0.176","0.854","19.6","17.3","21.8","23.8","12.6","44.5","11.9","4.3","33.3","0.81","0.58","1.15"
Centropomus undecimalis,Common snook,Centropomidae,benthic,species,"25.4","15.4","38.4","0.523","0.319","0.792","0.139","0.065","0.297","20.3","17.9","22.5","34.5","19.7","59.5","52.2","18.4","155.2","0.769","0.560","1.077"
Centroscymnus coelolepis,Portuguese dogfish,Somniosidae,benthic,species,"4.91","1.03","28.49","0.266","0.063","0.926","0.308","0.110","0.995","20.1","17.1","22.2","20.9","5.9","65.6","14.7","2.8","82.3","0.291","0.136","0.596"
Cephalopholis cruentata,Graysby,Epinephelidae,benthic,species,"28.1","12.8","57.6","0.548","0.279","1.129","0.285","0.157","0.507","19.3","17.4","20.9","21.1","9.8","42.1","86.8","30.2","314.7","0.479","0.320","0.816"
